st1,st2,st3,st4,st5,st6,st7
7521,7435,14613,18523,15935,17657,13096
7680,7759,14240,19761,17208,18842,12475
7803,7714,14142,19498,16824,18611,14318
8936,8853,16240,19554,16710,17811,15119
7553,8722,14371,18332,16918,18116,12586
8210,7776,13333,18600,15870,18062,13555
8221,7427,14755,19602,17215,17561,13088
8394,7607,14723,19592,16077,18478,13055
7967,7432,14712,18756,15986,18350,12539
8469,7494,14745,18644,17238,17612,12315
7884,7748,14393,19632,15870,18221,12880
8815,7436,14242,19491,17245,18582,12456
8342,7760,14627,18895,16905,18566,12696
7741,7301,14460,18799,17076,18609,12908
7641,7474,14150,19246,16792,17551,12627
8631,7858,14157,19359,15897,17688,12396
8534,7339,14453,19673,17036,18741,12921
8868,7615,14612,18855,16714,17981,12347
8745,7324,14759,19603,17084,18311,12846
7688,7623,14219,19282,16684,17989,12955
8386,7505,14727,19473,16700,18424,12470
8172,7624,14131,18850,16025,18302,12819
8665,7869,14178,18809,16245,18052,12542
8617,7445,14353,18687,16562,17973,12406
7636,7331,14414,19503,17268,18499,12928
8630,7863,14190,19056,17040,17854,12457
8840,7757,14407,18961,17150,17819,12367
8431,7878,14342,18675,16110,17533,12901
8848,7488,14397,19486,17119,17525,12665
8435,7279,14779,19675,17219,18592,12569
